"text","uuid:ID","id","name","label","description"
"Subject identifier","05a2c9f2-4aff-499c-a1b7-3b1a35480d27","TransitionRule_1","ENCOUNTER_START_RULE_1","",""
"completion of screening activities","d9fe1f6d-756c-4539-9775-4c90db6197b9","TransitionRule_2","ENCOUNTER_START_RULE_1","",""
"subject leaves clinic after connection of ambulatory ECG machine","02996675-e124-491a-9114-d3840ffe7426","TransitionRule_3","ENCOUNTER_START_RULE_2","",""
"subject has connection of ambulatory ECG machine removed","c8815508-19c5-4278-9be9-1e71988176c6","TransitionRule_4","ENCOUNTER_START_RULE_3","",""
"Radomized","75be3033-a40d-438d-b54d-76d62f55e419","TransitionRule_5","ENCOUNTER_START_RULE_3","",""
"End of treatment","d09d5719-7bb7-4260-8c6e-e5301d550d54","TransitionRule_6","ENCOUNTER_START_RULE_12","",""
"Informed consent","9dbd7d4a-d1cc-4745-ac89-92204d3353fc","TransitionRule_7","ELEMENT_START_RULE_1","",""
"Completion of all screening activities and no more than 2 weeks from informed consent","419ce770-311a-4fc3-af84-e27079cef9cb","TransitionRule_8","ELEMENT_END_RULE_1","",""
"Administration of first dose","b7a6cff9-fe28-4a46-8c6f-394da284c06e","TransitionRule_9","ELEMENT_START_RULE_2","",""
"End of last scheduled visit on study (including early termination)","13072c5c-ac74-4ece-8386-7ed8d071fbfa","TransitionRule_14","ELEMENT_START_RULE_7","",""
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","f7648cf6-1e88-4333-8bf5-24561f37e06c","TransitionRule_15","ELEMENT_END_RULE_7","",""
"Administration of first dose","063aa5c2-b8ce-488b-a0b7-7eb390eb6d7d","TransitionRule_10","ELEMENT_START_RULE_3","",""
"Randomized","a3280c21-61bf-4372-9f84-2d02ebe5129c","TransitionRule_11","ELEMENT_START_RULE_4","",""
"Administration of first dose (from patches supplied at Visit 4)","0bec13c8-2622-4ddd-9df4-cbbd5d122a04","TransitionRule_12","ELEMENT_START_RULE_5","",""
"Administration of first dose (from patches supplied at Visit 12)","2f239c3e-a0d1-457d-aa3e-6b570a5a2e72","TransitionRule_13","ELEMENT_START_RULE_6","",""
