"instanceType","description","id","parameterMap","label","name","uuid:ID"
"SyntaxTemplateDictionary","Dictionary for IE","SyntaxTemplateDictionary_1","{'min_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'maxValue'}, 'max_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'minValue'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'description'}}","IE Dictionary","IE_Dict","ca26e883-36d6-47b8-a868-556376e24b48"
"SyntaxTemplateDictionary","Dictionary for Study Assessments","SyntaxTemplateDictionary_2","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","Assessment Dictionary","AS_Dict","e028ed85-5a2e-4d4c-8d79-3b5b9c7d8fdd"
