"id:ID","id","name","uuid","text","label","description"
"480","TransitionRule_1","ENCOUNTER_START_RULE_1","a98a74c5-0e7e-48a4-bf84-2c175b0df1c2","Subject identifier","",""
"481","TransitionRule_2","ENCOUNTER_START_RULE_1","c20844d8-32de-47ae-a057-9440db4afbac","completion of screening activities","",""
"482","TransitionRule_3","ENCOUNTER_START_RULE_2","3e875dd3-5692-42d1-b93e-796c3c97e563","subject leaves clinic after connection of ambulatory ECG machine","",""
"483","TransitionRule_4","ENCOUNTER_START_RULE_3","847ef991-1c50-487a-9be7-8b0c7075559f","subject has connection of ambulatory ECG machine removed","",""
"484","TransitionRule_5","ENCOUNTER_START_RULE_3","8deabd01-4941-4f31-ae2d-21ba5be3576b","Radomized","",""
"485","TransitionRule_6","ENCOUNTER_START_RULE_12","e7e5e96f-49e1-4497-9f15-eb749b2a8f86","End of treatment","",""
"486","TransitionRule_7","ELEMENT_START_RULE_1","b06e01de-b1bc-4746-8164-c01714dfbddc","Informed consent","",""
"487","TransitionRule_8","ELEMENT_END_RULE_1","944ee469-5b05-4134-8cc8-a37fc2f2e616","Completion of all screening activities and no more than 2 weeks from informed consent","",""
"488","TransitionRule_9","ELEMENT_START_RULE_2","bfab921d-7934-4b02-8dc9-993dd26fa7c7","Administration of first dose","",""
"489","TransitionRule_14","ELEMENT_START_RULE_7","fdeacb9e-46e7-45db-86e0-f406684eb7ee","End of last scheduled visit on study (including early termination)","",""
"490","TransitionRule_15","ELEMENT_END_RULE_7","4e793e7e-53be-4bfb-8539-9c114c1ed7ad","Completion of all specified followup activities (which vary on a patient-by-patient basis)","",""
"491","TransitionRule_10","ELEMENT_START_RULE_3","ede04c2e-8425-4d93-91ad-59b7500fdfa4","Administration of first dose","",""
"492","TransitionRule_11","ELEMENT_START_RULE_4","1dc9dd6c-ed6c-41e8-a748-48741d38a7fb","Randomized","",""
"493","TransitionRule_12","ELEMENT_START_RULE_5","b91dc7bf-ac5d-45e8-ba32-f8b9d31e12f6","Administration of first dose (from patches supplied at Visit 4)","",""
"494","TransitionRule_13","ELEMENT_START_RULE_6","d0af00e4-4e4b-4d55-921b-6c95887e1bfa","Administration of first dose (from patches supplied at Visit 12)","",""
