"description","text","name","label","uuid:ID","id"
"","Subject identifier","ENCOUNTER_START_RULE_1","","32d04ed6-55c4-4f18-8e0b-3e1c684da722","TransitionRule_1"
"","completion of screening activities","ENCOUNTER_START_RULE_1","","37fd85b2-535b-4c65-a2c4-34ecb581574b","TransitionRule_2"
"","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","","0256a623-2128-43cd-a632-855cc634a58b","TransitionRule_3"
"","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","","5344b3cc-45b9-44ef-a155-1a3835ae5d0c","TransitionRule_4"
"","Radomized","ENCOUNTER_START_RULE_3","","941bfa93-b4f4-4c28-b2a1-74bc404c7739","TransitionRule_5"
"","End of treatment","ENCOUNTER_START_RULE_12","","2915bd61-e2bf-460a-b32b-6a8e2f814b15","TransitionRule_6"
"","Informed consent","ELEMENT_START_RULE_1","","a54934fe-c59c-44dd-982f-640b611e70f8","TransitionRule_7"
"","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","","f66aadf2-f193-483e-b6fc-ee327f063d22","TransitionRule_8"
"","Administration of first dose","ELEMENT_START_RULE_2","","6f966a04-0be2-49e7-8c03-6d2a6bc4c404","TransitionRule_9"
"","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","","d9981455-124b-4c53-aabe-5729226d9207","TransitionRule_14"
"","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","","33ce24c6-bc27-4ca5-8855-f8b86f67d814","TransitionRule_15"
"","Administration of first dose","ELEMENT_START_RULE_3","","7eed49ae-8f6c-4535-9359-3364646fcfc1","TransitionRule_10"
"","Randomized","ELEMENT_START_RULE_4","","dede77ae-39b3-4b8a-a339-278c4b2ae05a","TransitionRule_11"
"","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","","19f66aa3-33fa-44f8-9839-b5f9913422ce","TransitionRule_12"
"","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","","02dfa083-5ba6-42ba-a7cc-00be2d69f8b9","TransitionRule_13"
