"id:ID","uuid","name","description","label","id","text"
"480","dc82fcb6-7f11-4c97-b9c5-81a65cac48c6","ENCOUNTER_START_RULE_1","","","TransitionRule_1","Subject identifier"
"481","86f71aa3-5040-471e-949d-fe78e4ef155a","ENCOUNTER_START_RULE_1","","","TransitionRule_2","completion of screening activities"
"482","a01a9ba1-6c6c-46d5-81ac-cf0001a492e6","ENCOUNTER_START_RULE_2","","","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"483","04e20578-c2bf-46ad-b6bd-f5802d48d1e8","ENCOUNTER_START_RULE_3","","","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"484","76ac79da-c99c-4d62-997b-df4a8c5097ae","ENCOUNTER_START_RULE_3","","","TransitionRule_5","Radomized"
"485","e584263f-92bb-46c3-9510-082c50c6ca2f","ENCOUNTER_START_RULE_12","","","TransitionRule_6","End of treatment"
"486","ef47a59d-2545-4dce-8c09-7bef0b03ef49","ELEMENT_START_RULE_1","","","TransitionRule_7","Informed consent"
"487","6c95df8e-5f41-47ae-94e7-c2139cc6e7b4","ELEMENT_END_RULE_1","","","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"488","6babc3b1-6acd-4041-b966-a8c19b38a32e","ELEMENT_START_RULE_2","","","TransitionRule_9","Administration of first dose"
"489","804bd62e-56ac-411a-b3af-241105acfa84","ELEMENT_START_RULE_7","","","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"490","e2f51824-17d9-468a-9316-5974e5ea4f2d","ELEMENT_END_RULE_7","","","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"491","e86e1206-67e3-4774-a0d2-9524d8015d3f","ELEMENT_START_RULE_3","","","TransitionRule_10","Administration of first dose"
"492","f8190270-094a-48c3-b946-6608f015ab16","ELEMENT_START_RULE_4","","","TransitionRule_11","Randomized"
"493","94f16c01-5c15-4ec1-b39c-ec95cc201d7d","ELEMENT_START_RULE_5","","","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"494","01c5003c-647c-4eb0-99c7-cafdeb660ae8","ELEMENT_START_RULE_6","","","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
